Date, Time, Amount, Type, Description
2025-07-09,12:30:58,-35.00,Withdrawal,"PAI ATM 1115 K ST BOSTON, MA, US"
2025-07-09,12:20:57,50.00,Deposit,Internet transfer from Spending account XXXXXX6284
2025-07-08,23:34:30,10.00,Deposit,ATM Fee Reimbursement
2025-07-06,17:46:30,-13.50,Withdrawal,"NS AJO DORCHESTE 50 CLAPP ST        US DORCHESTER, MA, US"
2025-07-03,17:04:15,-81.99,Withdrawal,"NEW LINS YUM-730477 52 WILLOUGHBY BROOKLYN, NY, US"
2025-07-03,17:03:45,100.00,Deposit,Internet transfer from Spending account XXXXXX6284
2025-06-30,20:15:13,-30.00,Withdrawal,"PAI ATM 1115 K ST BOSTON, MA, US"
2025-06-30,19:50:28,35.00,Deposit,Internet transfer from Spending account XXXXXX6284
2025-06-25,19:55:44,-20.00,Withdrawal,"PAI ATM 1115 K ST BOSTON, MA, US"
2025-06-25,19:47:12,50.00,Deposit,Internet transfer from Spending account XXXXXX6284
2025-06-23,08:46:48,-13.66,Withdrawal,"DUNKIN #351555 Q35 77 L STREET BOSTON, MA, US"
2025-06-20,03:20:56,-17.71,Withdrawal,"1005 CAFFE NERO FORT P 368 CONGRESS ST BOSTON, MA, US"
2025-06-19,16:55:16,-45.00,Withdrawal,"PAI ATM 1115 K ST BOSTON, MA, US"
2025-06-19,16:48:13,50.00,Deposit,Internet transfer from Spending account XXXXXX6284
2025-06-19,12:50:26,-4.48,Withdrawal,"DUNKIN #351555 Q35 77 L STREET BOSTON, MA, US"
2025-06-19,01:29:14,-16.88,Withdrawal,"MCDONALD'S F15237 870 MASSACHUETTS AVE BOSTON, MA, US"
2025-06-18,12:35:33,-4.48,Withdrawal,"DUNKIN #302993 Q35 510 SOUTH HAMPTON ST BOSTON, MA, US"
2025-06-18,12:25:07,-6.15,Withdrawal,"TST*PAVEMENT COFFEEHOU 1334 Boylston St Boston, MA, US"
2025-06-18,12:05:28,20.00,Deposit,Internet transfer from Spending account XXXXXX6284
2025-06-16,20:33:27,-40.00,Withdrawal,"PAI ATM 1115 K ST BOSTON, MA, US"
2025-06-16,20:26:40,35.00,Deposit,Internet transfer from Spending account XXXXXX6284
2025-06-14,13:12:49,-1.99,Withdrawal,"RICHMOND MARKET 5 KINGSTOWN ROAD WYOMING, RI, US"
2025-06-13,17:02:16,25.00,Deposit,Internet transfer from Spending account XXXXXX6284
2025-06-13,12:58:59,-17.11,Withdrawal,"DD *DOORDASH CHILACATE 303 2nd Street Suite 80 SAN FRANCISCO, CA, US"
2025-06-10,21:44:50,-43.00,Withdrawal,"BOS WN TG 793 BOYLSTON ST 5  US BOSTON, MA, US"
2025-06-10,21:26:50,45.00,Deposit,Internet transfer from Spending account XXXXXX6284
2025-06-08,23:22:29,10.00,Deposit,ATM Fee Reimbursement
2025-06-08,13:41:56,-4.48,Withdrawal,"DUNKIN #351555 Q35 77 L STREET BOSTON, MA, US"
2025-06-08,03:06:25,-28.67,Withdrawal,"THE HOME DEPOT #2679 5 ALL STATE ROAD BOSTON, MA, US"
2025-06-06,15:14:02,-34.36,Withdrawal,"STOP & SHOP #053 713 E SOUTH BOSTON, MA, US"
2025-06-06,13:25:24,-19.26,Withdrawal,"DD *SALSOFSOUTHBOSTO 303 2nd Street Suite 80 SAN FRANCISCO, CA, US"
2025-06-06,13:05:34,-5.41,Withdrawal,"HERITAGE MARKET 628 EAST 5TH ST SOUTH BOSTON, MA, US"
2025-06-06,12:49:24,-4.48,Withdrawal,"DUNKIN #351555 Q35 77 L STREET BOSTON, MA, US"
2025-06-05,18:02:41,-18.96,Withdrawal,"WALGREENS 710 E BROADW SOUTH BOSTON, MA, US"
2025-06-05,16:07:21,100.00,Deposit,Internet transfer from Spending account XXXXXX6284
2025-06-05,13:10:30,-4.48,Withdrawal,"DUNKIN #351555 Q35 77 L STREET BOSTON, MA, US"
2025-06-05,13:06:45,-4.48,Withdrawal,"DUNKIN #351555 Q35 77 L STREET BOSTON, MA, US"
2025-06-05,12:46:06,20.00,Deposit,Internet transfer from Spending account XXXXXX6284
2025-06-05,12:37:39,-10.32,Withdrawal,"HERITAGE MARKET 628 EAST 5TH ST SOUTH BOSTON, MA, US"
2025-06-04,16:23:12,-20.30,Withdrawal,"MCDONALD'S F15237 870 MASSACHUETTS AVE BOSTON, MA, US"
